timestamp,open,high,low,close,volume
1712311200000,66810.0,66986.0,66794.6,66970.0,576.65743785
1712312100000,66970.0,66970.0,66728.4,66874.0,385.07498129
1712313000000,66874.0,67217.4,66833.2,67205.6,778.56538392
1712313900000,67205.6,67220.2,67026.1,67064.1,345.68636141
1712314800000,67064.1,67123.3,66897.6,66962.1,427.87554957
1712315700000,66962.0,67012.0,66804.1,66830.0,342.20934592
1712316600000,66830.0,66919.9,66583.6,66808.0,640.74280467
1712317500000,66808.0,66820.0,66410.1,66504.0,847.73826051
1712318400000,66504.0,66733.5,66158.5,66618.5,1773.53390163
1712319300000,66618.6,66825.5,66466.6,66761.9,532.54049939
1712320200000,66761.9,66761.9,65981.0,66418.9,2689.09663439
1712321100000,66418.9,66925.2,66398.3,66904.4,1431.74073257
1712322000000,66906.1,66921.9,66550.0,66771.9,773.4165975
1712322900000,66771.9,66988.0,66613.9,66926.1,752.4432783
1712323800000,66926.0,67409.7,66865.8,67344.0,1319.76515551
1712324700000,67344.1,67610.0,67266.0,67505.3,1036.91940336
1712325600000,67505.3,67953.5,67339.2,67882.1,1116.38433551
1712326500000,67882.1,67944.0,67408.3,67568.0,978.8081627
1712327400000,67568.0,68294.0,67477.1,68186.1,1133.7972589
1712328300000,68186.1,68593.7,68127.8,68157.1,1935.60333734
1712329200000,68156.0,68271.9,67815.4,67966.0,744.47432917
1712330100000,67966.0,67966.0,67651.0,67758.1,555.12125205
1712331000000,67758.0,68083.2,67663.0,68049.1,686.81704493
1712331900000,68049.2,68259.1,67887.0,68212.8,545.98305289
1712332800000,68212.8,68400.0,68051.2,68054.0,627.55886205
1712333700000,68054.0,68198.2,67928.0,67962.0,461.92066846
1712334600000,67962.0,68014.1,67784.0,67834.0,455.83784881
1712335500000,67834.0,67985.9,67700.0,67972.3,376.2118242
1712336400000,67972.3,67999.8,67714.9,67830.0,318.91431306
1712337300000,67830.0,67894.0,67695.6,67730.0,315.21041331
1712338200000,67730.0,67803.8,67520.4,67563.6,513.7535556
1712339100000,67564.0,67613.1,67364.5,67456.0,721.89718044
1712340000000,67456.0,67723.5,67321.6,67669.9,683.92034948
1712340900000,67669.9,67732.0,67486.6,67486.6,293.0304423
1712341800000,67486.7,67732.2,67436.8,67605.8,434.24169222
1712342700000,67605.8,67656.6,67528.0,67638.1,285.01951547
1712343600000,67638.1,67888.8,67626.6,67702.0,505.2462756
1712344500000,67702.0,67868.0,67700.4,67848.1,249.18978883
1712345400000,67848.1,68063.2,67578.0,67578.0,742.16632442
1712346300000,67578.0,67732.0,67375.4,67394.0,461.03542731
1712347200000,67394.0,67539.7,67333.4,67488.0,381.06327691
1712348100000,67488.0,67614.0,67389.0,67614.0,180.31230651
1712349000000,67615.3,67750.0,67564.2,67636.6,145.12220772
1712349900000,67636.5,67694.0,67580.6,67644.0,200.82656266
1712350800000,67644.1,67700.0,67580.6,67675.9,101.00781351
1712351700000,67675.9,67829.9,67674.2,67789.3,239.59166666
1712352600000,67789.3,67821.1,67614.1,67749.1,152.3506555
1712353500000,67749.1,67795.2,67504.9,67504.9,116.95378966
1712354400000,67504.9,67685.9,67496.0,67621.5,170.15946951
1712355300000,67621.5,67712.6,67618.0,67682.3,154.10688954
1712356200000,67682.3,67780.9,67618.0,67780.9,115.69640256
1712357100000,67780.9,67836.0,67570.0,67635.1,246.2948639
1712358000000,67635.1,67872.0,67634.4,67836.8,225.27371348
1712358900000,67837.0,67868.0,67775.8,67858.6,143.83531934
1712359800000,67858.6,67960.8,67842.8,67926.0,148.89223912
1712360700000,67925.9,67980.0,67769.0,67826.0,122.83164197
1712361600000,67826.1,67873.7,67703.4,67818.0,237.79445844
1712362500000,67818.0,67885.3,67760.0,67885.3,136.08703712
1712363400000,67886.0,68078.7,67885.8,67932.9,265.65129492
1712364300000,67932.9,68018.0,67844.0,67916.1,130.20081601
1712365200000,67916.0,67978.0,67828.6,67833.9,136.32723701
1712366100000,67833.9,67998.0,67833.9,67938.0,132.04868268
1712367000000,67938.0,67955.0,67808.9,67830.1,173.15134318
1712367900000,67830.1,67863.9,67712.5,67762.0,287.24688196
